"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"US National",2015-12-19,4,2016-01-16,1.46576830147965,0.01,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,1.53492682514915,0.025,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,1.70946765611523,0.05,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,1.87048044581213,0.1,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,2.02307970549411,0.15,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,2.1454474295271,0.2,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,2.26221579137839,0.25,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,2.3225046514207,0.3,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,2.36425276579833,0.35,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,2.43354464631894,0.4,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,2.47721065669021,0.45,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,2.51199461429833,0.5,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,2.58665281190119,0.55,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,2.68379305929868,0.6,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,2.74253222303119,0.65,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,2.84705603340093,0.7,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,2.9296044324898,0.75,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,3.11531511174474,0.8,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,3.34070022131016,0.85,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,3.55585994270797,0.9,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,3.8617939018254,0.95,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,4.14746893409417,0.975,"ili perc","quantile"
"US National",2015-12-19,4,2016-01-16,4.24317037111249,0.99,"ili perc","quantile"
