"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"HHS Region 3",2016-04-02,4,2016-04-30,0.869153009599044,0.01,"ili perc","quantile"
"HHS Region 3",2016-04-02,4,2016-04-30,0.947533604288133,0.025,"ili perc","quantile"
"HHS Region 3",2016-04-02,4,2016-04-30,1.06503864165814,0.05,"ili perc","quantile"
"HHS Region 3",2016-04-02,4,2016-04-30,1.19056509058357,0.1,"ili perc","quantile"
"HHS Region 3",2016-04-02,4,2016-04-30,1.30771901590084,0.15,"ili perc","quantile"
"HHS Region 3",2016-04-02,4,2016-04-30,1.43558408625605,0.2,"ili perc","quantile"
"HHS Region 3",2016-04-02,4,2016-04-30,1.54607278776795,0.25,"ili perc","quantile"
"HHS Region 3",2016-04-02,4,2016-04-30,1.72538976577571,0.3,"ili perc","quantile"
"HHS Region 3",2016-04-02,4,2016-04-30,1.81074890749945,0.35,"ili perc","quantile"
"HHS Region 3",2016-04-02,4,2016-04-30,1.95492213221152,0.4,"ili perc","quantile"
"HHS Region 3",2016-04-02,4,2016-04-30,2.00204116310162,0.45,"ili perc","quantile"
"HHS Region 3",2016-04-02,4,2016-04-30,2.05652346004799,0.5,"ili perc","quantile"
"HHS Region 3",2016-04-02,4,2016-04-30,2.14273679673562,0.55,"ili perc","quantile"
"HHS Region 3",2016-04-02,4,2016-04-30,2.18559753981157,0.6,"ili perc","quantile"
"HHS Region 3",2016-04-02,4,2016-04-30,2.29812788474407,0.65,"ili perc","quantile"
"HHS Region 3",2016-04-02,4,2016-04-30,2.4336581855752,0.7,"ili perc","quantile"
"HHS Region 3",2016-04-02,4,2016-04-30,2.53695287900369,0.75,"ili perc","quantile"
"HHS Region 3",2016-04-02,4,2016-04-30,2.68069289015094,0.8,"ili perc","quantile"
"HHS Region 3",2016-04-02,4,2016-04-30,2.78869356045915,0.85,"ili perc","quantile"
"HHS Region 3",2016-04-02,4,2016-04-30,3.01549122350414,0.9,"ili perc","quantile"
"HHS Region 3",2016-04-02,4,2016-04-30,3.5367593404664,0.95,"ili perc","quantile"
"HHS Region 3",2016-04-02,4,2016-04-30,3.79963531580489,0.975,"ili perc","quantile"
"HHS Region 3",2016-04-02,4,2016-04-30,4.19787630926252,0.99,"ili perc","quantile"
