"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"US National",2017-02-11,4,2017-03-11,2.71256871847721,0.01,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,3.11470747114611,0.025,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,3.75930017832741,0.05,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,4.25276760480449,0.1,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,4.39380748824001,0.15,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,4.66323168632479,0.2,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,4.83357890617604,0.25,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,4.94522567746255,0.3,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,5.16105210571801,0.35,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,5.34829980144667,0.4,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,5.43547337267485,0.45,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,5.58388226836478,0.5,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,5.61055816889932,0.55,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,5.73983982546659,0.6,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,6.10688190805958,0.65,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,6.28960498110018,0.7,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,6.43756590660553,0.75,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,6.66615917456783,0.8,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,6.91269158538367,0.85,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,7.2322780282026,0.9,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,7.8801059714297,0.95,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,8.61539185754313,0.975,"ili perc","quantile"
"US National",2017-02-11,4,2017-03-11,8.90324537555622,0.99,"ili perc","quantile"
